text,Gold Label
"Every single candidate on the last debate stage except for Amy Klobuchar and me is either a self-funding billionaire, or is receiving help from super PACs that can dump unlimited spending into this primary. 

To me, that’s not how you build a campaign that fights for working people. If you agree with me, please pitch in $2, $20, or whatever you can right now to help our campaign reach our goal before the Nevada caucuses.",governance
"Elizabeth Warren is returning to Nevada! She will be hosting a Get Out the Caucus Town Hall in Las Vegas on Friday, February 21 as we build our movement for 2020.",no topic
"Elizabeth Warren is returning to Nevada! She will be hosting a Get Out the Caucus Town Hall in Henderson on Monday, February 17 as we build our movement for 2020.",no topic
"Elizabeth Warren is returning to Nevada! She will be hosting a Get Out the Caucus Town Hall in Reno on Sunday, February 16 as we build our movement for 2020.",no topic
"“‘I think it is really important that as we go into the 2020 election that we have the best chance to win against Donald Trump,’ Warren said. ‘And I think what that’s going to be is about prosecuting the case on corruption and drawing the distinction between this administration that is the most corrupt in living memory, and having a Democratic nominee who was willing to take on that corruption.’”

“‘We win when we have ideas big enough to meet the problems in people’s lives.’”",no topic
"As I travel the country talking to workers at town halls and in selfie lines, I hear that too many face a giant challenge in supporting their families: unpredictable work schedules that leave them with too few hours to afford necessities and no control over their time. 

Across the country, workers are fed up with unpredictable and unfair schedules so they’re getting organized - and winning.

My Fair Workweek plan builds on the work of these committed advocates and activists, and ensures that every part-time worker in America is treated with respect and can build a future for themselves and the people they love. It will: 
- Require employers with 15 or more employees to give two weeks of advance notice of work schedules
- Empower employees to ask for schedules that work for them without fear of retaliation.
- Ensure a right to rest between shifts.
- Require employers to offer additional work hours to existing, qualified, part-time workers before hiring new employees or contractors.
- Provide benefits to part-time workers.

Click here to read more.",economic
"“The senator praised unions as a force for America’s working and middle-class citizens, saying ‘unions built America’s middle class and unions will rebuild America’s middle class.’”

“Warren said the goal is to replicate the healthcare that union members have access to and offer that nationwide.”

“D. Taylor, president of UNITE HERE, spoke in favor of Warren’s proposal, saying ‘health care should be a right, and not a privilege, and no one should go without.’”","economic, health, social programs"
"“[Her plan] also highlights the need for a new plan to ease the stress of critical water supplies like the Colorado River basin, where drops in reservoir levels recently forced mandatory water cuts in Arizona and Nevada.”

“Warren touched on various topics including her plan for a 2 percent wealth tax on incomes over $50 million. She talked about providing health insurance to those who need it, protecting public lands and passing federal laws that protect voters’ rights.”

“‘America’s economic agenda is a progressive agenda,’ Warren said. ‘This is what America wants. Who’s on the other side? Rich people and people who suck up to rich people.’”","environmental, economic, health, governance"
"I’m running to be the best president that money can’t buy. That means I’m not hosting any fundraisers where you can only meet me if you can write a check for $2,800. And I'm not taking any money from Washington lobbyists or PACs of any kind.

You'll always know that I'm fighting for you — not for any powerful special interest with deep pockets.
But now more than ever, we need folks like you to give what you can to keep this movement going. Some candidates outraised us last quarter by holding those wine cave-style closed-door fundraisers — and at our average donation of $23, it takes 122 grassroots donors to raise the price of just one ticket to events like those. 

Can you be one of the 122 donors we need? Chip in $2, $23, or whatever you can spare to help sustain our ground game and grow our grassroots movement. 

If you’ve saved your payment information with ActBlue Express, your donation will be automatically processed:

Chip in $2: https://ewar.ren/y19e
Chip in another amount: https://ewar.ren/zy34",governance
"I’m running to be the best president that money can’t buy. That means I’m not hosting any fundraisers where you can only meet me if you can write a check for $2,800. And I'm not taking any money from Washington lobbyists or PACs of any kind.

You'll always know that I'm fighting for you — not for any powerful special interest with deep pockets.
But now more than ever, we need folks like you to give what you can to keep this movement going. Some candidates outraised us last quarter by holding those wine cave-style closed-door fundraisers — and at our average donation of $23, it takes 122 grassroots donors to raise the price of just one ticket to events like those. 

Can you be one of the 122 donors we need? Chip in $3, $23, or whatever you can spare to help sustain our ground game and grow our grassroots movement. 

If you’ve saved your payment information with ActBlue Express, your donation will be automatically processed:

Chip in $3: https://ewar.ren/rxv6
Chip in another amount: https://ewar.ren/8rth",governance
"I’m running to be the best president that money can’t buy. That means I’m not hosting any fundraisers where you can only meet me if you can write a check for $2,800. And I'm not taking any money from Washington lobbyists or PACs of any kind.

You'll always know that I'm fighting for you — not for any powerful special interest with deep pockets.
But now more than ever, we need folks like you to give what you can to keep this movement going. Some candidates outraised us last quarter by holding those wine cave-style closed-door fundraisers — and at our average donation of $23, it takes 122 grassroots donors to raise the price of just one ticket to events like those. 

Can you be one of the 122 donors we need? Chip in $1, $23, or whatever you can spare to help sustain our ground game and grow our grassroots movement. 

If you’ve saved your payment information with ActBlue Express, your donation will be automatically processed:

Chip in $1: https://ewar.ren/1b18e
Chip in another amount: https://ewar.ren/71a58",governance
"I’m running to be the best president that money can’t buy. That means I’m not hosting any fundraisers where you can only meet me if you can write a check for $2,800. And I'm not taking any money from Washington lobbyists or PACs of any kind.

You'll always know that I'm fighting for you — not for any powerful special interest with deep pockets.
But now more than ever, we need folks like you to give what you can to keep this movement going. Some candidates outraised us last quarter by holding those wine cave-style closed-door fundraisers — and at our average donation of $23, it takes 122 grassroots donors to raise the price of just one ticket to events like those. 

Can you be one of the 122 donors we need? Chip in $5, $23, or whatever you can spare to help sustain our ground game and grow our grassroots movement. 

If you’ve saved your payment information with ActBlue Express, your donation will be automatically processed:

Chip in $5: https://ewar.ren/7bb0b
Chip in another amount: https://ewar.ren/66632",governance
"“‘The burdens of student debt are not distributed equally across all Americans: our country’s student debt crisis is hitting Black and Latinx communities especially hard,’ Warren wrote in her plan. ‘Half of Black borrowers and a third of Latinx borrowers default on their loans within 20 years.’”","education, social cultural"
"“‘The real danger we face as Democrats is picking a candidate who can’t pull our party together or someone who takes for granted big parts of the Democratic constituency,’ Warren said. ‘We need a candidate who will excite all parts of the Democratic Party, bring everyone in, and give every Democrat a place to believe in. That’s my plan, and that is why I’m going to win.’

“‘Look at the men on this stage,’ Warren said. ‘Collectively, they have lost 10 elections. The only people on this stage who have won every single election that they’ve been in are the women: Amy and me.’”

“As the New York Times has observed, studies have shown that when women do run for office, they win at the same rates as men. Warren’s answer makes it clear that it’s time to put the entire question of the electability of women to bed.”",no topic
"“Senator Warren released a robust plan to simplify our bankruptcy system, making it more accessible for families who are currently too broke to file. Her bold solutions to decrease the amount of paperwork, eliminate ineffective credit counseling requirements, and combine two chapters of bankruptcy will help millions of families re-enter our economy. Debt has devastating downstream effects on society that include homelessness, hunger, and poverty. Senator Warren’s plan will help stop these problems before they happen.

“Senator Warren’s plan is groundbreaking because it uses our bankruptcy system to highlight the Access to Justice Crisis in America, a civil rights issue that has gone largely unnoticed by the general public. Unlike in the criminal justice system, low- and middle-income individuals have no right to any free legal representation in the civil justice system.”","economic, safety"
"You're invited to join the Official 2020 Trump Life Member. This is a brand new membership program that's exclusively for our TOP supporters. Your donation will help us identify and register thousands of new Trump voters, train volunteers, and ensure we get our positive America First message past the FAKE NEWS. Donate by TONIGHT AT 11:59 PM to secure you membership.",no topic
I'm pleased to invite you to become an Official 2020 Trump Life Member. This brand new membership program is for our TOP supporters like YOU. I need you to be our front line of defense against the constant lies and attacks from Democrats and the FAKE NEWS. We have a limited number of spots for membership. Please contribute TONIGHT by 11:59 PM to ensure your spot is reserved.,no topic
"I'm counting on loyal supporters like YOU to answer the call to join the Trump Life Membership program. Your contribution today will help us identify and register THOUSANDS of new Trump voters, train volunteers, and get our POSITIVE America First message past the Liberal media filter. Please contribute $35 or more today to become an Official 2020 Trump Life Member and help us win BIG in November.",no topic
Trump Life Members are going to be the lifeblood of my 2020 campaign. I'm counting on loyal supporters like YOU to be our front line defense against the lies and attacks from Democrats and the Fake News. Please contribute $35 or more TODAY to become an Official 2020 Trump Life Member and help us win BIG in 2020.,no topic
Our goal is to get 1 MILLION signatures from Trump Supporters like you to let the fake news know what real Americans think. Coastal liberals like Don Lemon can't fathom why anyone wouldn't want to go along with their radical SOCIALIST agenda. We need to send them a message. Please sign the petition TODAY.,no topic
"Don Lemon recently hosted a panel of liberal activists where they proceeded to mock Trump supporters, like YOU, as dumb and uneducated. These are the same people who said there was NO CHANCE that Crooked Hillary would LOSE to Donald Trump in 2016. We can't let them win. Add your name to the Official Stand with Trump Petition NOW.",no topic
"We're offering a SPECIAL discount on all merchandise across the Official Trump Store. 

President Trump has been working TIRELESSLY since he took office, with CONSTANT attacks from the radical left and mainstream media. 

Show him that you stand by his plan for our GREAT nation by making a purchase from the Official Trump Store. 

Use code PRESIDENT at checkout to take advantage of this EXCITING sale while it’s available.",no topic
"There’s only one thing better than having the day off of work…and that’s the Trump President's Day deal.

As a supporter of President Trump, you've earned 25% OFF SITEWIDE. Use code PRESIDENT.",no topic
"***LIMITED TIME ONLY: PRESIDENT’S DAY SALE***

Use code PRESIDENT for 25% off the OFFICIAL TRUMP STORE!",no topic
"***NOW THROUGH MONDAY: PRESIDENT’S DAY SALE***

Use code PRESIDENT for 25% off the OFFICIAL TRUMP STORE!",no topic
🇺🇸 🇺🇸 🇺🇸 25% OFF OFFICIAL TRUMP STORE 🇺🇸 🇺🇸 🇺🇸,no topic
Spots are filling up FAST. There are a lot of people who want to get their name on the wall at Campaign HQ. We can guarantee you a spot if you donate by MIDNIGHT TONIGHT.,no topic
"OFFICIAL 2020 DONOR WALL

We only have 102 spots left on the 2020 Donor Wall, and they're filling up FAST. There are a lot of people who want to get their name on the wall at Campaign HQ, so we can only hold your spot until MIDNIGHT TONIGHT.",no topic
This is your chance to permanently engraved your name on the 2020 Trump Donor Wall. There are a lot of people who want their name on the wall at Campaign HQ. We can only hold your spot until MIDNIGHT TONIGHT before we will be forced to send it to the next person our waiting list.,no topic
"Spots are filling up FAST

This is your chance to permanently engraved your name on the 2020 Trump Donor Wall. There are a lot of people who want their name on the wall at Campaign HQ. We can only hold your spot until MIDNIGHT TONIGHT before we will be forced to send it to the next person our waiting list.",no topic
"OFFICIAL 2020 DONOR WALL

Spots are filling up FAST. There are a lot of people who want to get their name on the wall at Campaign HQ. We can guarantee you a spot if you donate by MIDNIGHT TONIGHT.",no topic
"We only have 102 spots left on the 2020 Donor Wall, and they're filling up FAST. There are a lot of people who want to get their name on the wall at Campaign HQ, so we can only hold your spot until MIDNIGHT TONIGHT.",no topic
"Corrupt politicians like Joe Biden, Adam Schiff, and Nancy Pelosi can’t hide behind their friends in the FAKE NEWS forever.

The American people deserve to know the truth about what Democrats are up to.

My team is sending me the results first thing tomorrow morning, so be sure to respond NOW.

Please complete the Official Democrat Corruption Accountability Survey before 11:59 PM TONIGHT to make sure I see your response tomorrow.",no topic
"Democrats are TERRIFIED.

They know that the corruption that they’ve gotten away with in Washington for so long is about to end. 

The American people elected me with the mandate to DRAIN THE SWAMP, and that’s exactly what I’ve done for the last three years.

It’s time for the American people to tell Democrats to do their job and work with me to Keep America Great instead of wasting more of YOUR taxpayer dollars on bogus Impeachment Witch Hunts.

That’s why I’m inviting YOU to take our Official Democrat Corruption Accountability Survey today. 

Take the Official Democrat Corruption Accountability Survey before 11:59 PM TONIGHT to make sure your voice is heard.","economic, governance"
"Democrats are TERRIFIED.

They know that the corruption that they’ve gotten away with in Washington for so long is about to end. 

That’s why I’m inviting YOU to take our Official Democrat Corruption Accountability Survey today.

Take the Official Democrat Corruption Accountability Survey before 11:59 PM TONIGHT to make sure your voice is heard.",no topic
"The only place online to purchase the Official USA rope hat worn by 45th President-Elect Donald J. Trump, himself.",no topic
"Show your support with our American Worker hat.

Proudly made in the USA!",no topic
"American workers are strong, proud, hard-working and dedicated to Keep America Great. Show your support with our American Worker hat!",no topic
Keep America Great 45th President Hat!,no topic
"• 100% cotton 
• 6-panel constructed crown 
• Hook & loop closure 
• Pre-curved bill 
• Proudly Made in USA",no topic
"• Embroidered USA logo on front
• Embroidered American Flag on left side
• Embroidered 45 on right side
• Embroidered Trump on back
• Plastic Snap Closure
• Proudly Made in USA",no topic
"Order your hat today and support the American farmer!

Proudly made in the USA!",no topic
"We vow to Make Our Farmers Great Again and to continue growing America into the strong, proud, hard-working country it has always been. 

Order your hat today and support the American farmer!",no topic
"Order your official Keep America Great 45th President hat today!

Proudly made in the USA!",no topic
In 2016 Donald J. Trump promised to Make America Great Again — and now we have to Keep America Great! Order your official Keep America Great 45th President hat today!,no topic
Make Our Farmers Great Again! Hat,no topic
"The only place online to purchase the Official USA rope hat worn by 45th President-Elect Donald J. Trump, himself. 

Proudly Made in the USA!",no topic
The Official Donald J. Trump Make America Great Again Hat,no topic
"The only place online to purchase the white Official Make America Great Again classic rope hat proudly worn by Trump, himself!

Proudly Made in USA",no topic
Proudly wear your official Veterans for Trump hat and show your support for our great President.,no topic
Official Donald J. Trump Make America Great Again Hat - Camo,no topic
Official Donald J. Trump Make America Great Again Hat - White,no topic
"The only place online to purchase the camo Official Make America Great Again classic rope hat proudly worn by Trump, himself!",no topic
Official Donald J. Trump Keep America Great 2020 Hat,no topic
"The only place online to purchase the camo Official Make America Great Again classic rope hat proudly worn by Trump, himself!

Proudly Made in USA",no topic
PROUDLY MADE IN USA!,no topic
"The only place online to purchase the Official Make America Great Again classic rope hat as worn by Trump himself! 

Proudly Made in USA!",no topic
"The only place online to purchase the white Official Make America Great Again classic rope hat proudly worn by Trump, himself!",no topic
"Proudly wear your official Veterans for Trump hat and show your support for our great President.

Proudly made in the USA!",no topic
American Worker Hat - Navy,no topic
Proudly support President Trump with an official 2020 Yard Sign,no topic
Be one of the first with our BRAND NEW 2020 Trump Yard Signs,no topic
Your Constitutional rights are under attack. Radical SOCIALISTS want to take guns away from law-abiding citizens and trample over your right to self- defense. Not under President Trump's watch. He will ALWAYS defend your Second Amendment rights. Add your name to the Official Second Amendment Defense Petition TODAY to let Democrats know you won't surrender your rights.,"governance, safety"
President Trump has made it clear that he will ALWAYS defend your Second Amendment rights. Democrats want to take guns away from law-abiding citizens and trample over your right to self-defense. President Trump will NEVER let this happen. He's asking you to stand with him. Please add your name to the Official Second Amendment Defense Petition TODAY to let Democrats know that you will never give up your Constitutional rights.,"safety, governance"
Countless lives have been saved because law-abiding gun owners were able to defend themselves against dangerous criminals. Democrats would rather you be left DEFENSELESS. President Trump will NEVER cave to gun-grabbing socialist who want to make America less safe. Add your name to the Official Second Amendment Defense Petition NOW to stand with President Trump in fighting for our Second Amendment rights.,safety
Our Constitutional rights are under attack. Radical Socialists want to take guns away from law-abiding citizens and trample over our right to self-defense. Not under my watch. I will ALWAYS defend your Second Amendment rights. Add your name to the Official Second Amendment Defense Petition today. My team is showing me the list of all the Patriots who sign by 11:59 TONIGHT.,"safety, governance"
"TAKE THE OFFICIAL APPROVAL POLL!

Please take the Official Trump Approval Poll before 11:59 PM TONIGHT to have your vote counted in the official results.",no topic
"As one of our top supporters, I really value your opinion and want to hear from you.

Please take the Official Trump Approval Poll before 11:59 PM TONIGHT to have your vote counted in the official results.",no topic
"My team has put together this special sweepstakes for you and a friend to fly in, join us for dinner, and take a picture together. All it takes is any contribution before the deadline to be automatically entered for this once-in-a-lifetime chance. I'm excited to meet the lucky winner and a top supporter like you. So don't miss your chance. 
Enter to win dinner with me in Los Angeles with any contribution before 11:59 PM TONIGHT to have your name entered TWICE!",no topic
We can't let them get away with this. Coastal liberals like Don Lemon can't fathom why anyone wouldn't want to go along with their radical SOCIALIST agenda. We need to send them a message. He recently hosted a panel of liberal activists where they proceeded to mock Trump supporters as dumb and educated. Our goal is to get 1 MILLION signatures to let them know what real America thinks.,no topic
The Radical Left wants to silence you. Our goal is to get 1 MILLION signatures from Trump Supporters like you to let the FAKE NEWS know what REAL AMERICANS think. Add your name to the Official Stand with Trump Petition NOW.,no topic
"Joe Biden is coming to North Las Vegas! Join Joe and the team on Saturday, February 15th for an Early Vote Event at the Culinary Academy!

Come show your support for Joe Biden!",no topic
"Joe Biden is coming to Henderson! We're hosting an Early Vote Event with Nevada Congresswoman Dina Titus and Captain ""Sully"" Sullenberger!

Join Joe and the team TOMORROW, February 14th at Sun City Macdonald Ranch with the Sun City Anthem Democrats!",no topic
"Joe Biden is coming to Reno! Join Joe on Monday, February 17th at Clayton Middle School for a community event!

Hear from Joe and learn what you can do to help lead him to victory in Nevada!",no topic
"Joe Biden is coming to Las Vegas! Join Joe and the team on Saturday, February 15th for an organizing event at KO Knudson Middle School!

Bring your friends!",no topic
"Nate Silver’s FiveThirtyEight says Bernie and Joe have the best chance of winning the Democratic nomination, but a recent poll shows that Biden will BEAT Trump while Bernie could LOSE to Trump.  

We can't afford to let Trump win – but with voting already underway, we urgently need to close our $1,027 fundraising gap by midnight tonight if we’re going to make sure Joe Biden is on the ballot against Trump in November. Will you rush a donation now to make sure Joe Biden wins this primary and defeats Donald Trump?",no topic
"BREAKING: Joe has the best shot to take on Trump, but we got outraised by some of our top Democratic opponents last quarter, and now a recent poll shows Bernie Sanders leading us by ONE POINT.

We know Joe Biden is the best chance we have to beat Donald Trump and win the battle to restore the soul of our nation – that’s why we’re beating Trump in more than 70 polls nationwide.

In this critical push, YOUR support will go a long way in restoring the soul of the nation. It’s never mattered more. Every dollar makes a difference, and we’re counting on you to step up: Will you donate now to make sure Joe Biden defeats Donald Trump in November?",no topic
"URGENT SUPPORT NEEDED: Our country cannot take another four years of Trump. But two of our Democratic opponents outraised us last quarter, and our campaign won’t have the resources we need to win the nomination unless we raise $1,027 by midnight tonight.

Defeating Donald Trump in November comes down to getting Joe Biden on the ballot. The only way we’ll make up the difference in this critical final push is with the immediate grassroots support of people like you: Will you rush a donation now to make sure Joe Biden defeats Donald Trump?",no topic
"JOE BIDEN FORECASTED TO WIN: Nate Silver’s FiveThirtyEight says Joe Biden has the best chance of winning the Democratic nomination, and more than 70 polls show him defeating Donald Trump – but we need to win this nomination first. With next to no time left before voting starts, we urgently need to close our $1,027 fundraising gap by midnight tonight if we’re going to make sure Joe Biden is on the ballot against Trump in November: Will you rush a donation now to make sure Joe Biden wins this primary and defeats Donald Trump?",no topic
"The way we beat Trump is with the largest voter turnout in the history of the country.

We win it with a campaign of energy and excitement.

We are that campaign. Help us prove it by adding your name to say you're voting with us.",governance
"The billionaire class and corporate elites want you to think we have no chance of winning this election.

They want you to think your vote doesn't matter.

Help us prove them wrong.

Pledge to vote and let's have historic turnout. And then let's win this election together.",governance
"Can you take two minutes to let us know if you’re planning to vote for Bernie? As more and more states head to the polls, this is one of the most important things you can do to help us win.",no topic
"Please add your name to say you are voting for our campaign. We are taking on the most powerful forces in this country, and they have unbelievable and unlimited amounts of money to spend against us. 

But we’ve got something even better: you. Add your name to show them we’re ready to take them on and win.",no topic
"Will you pledge to vote for our campaign, and help us send an unmistakable message to the establishment that we are the campaign that will win this primary, defeat Donald Trump, and transform this country?",no topic
"If you’re voting for Bernie, can you take 2 minutes to let us know? We are running the largest voter contact effort in American history, and if you can be a part of it by saying that you’re voting for us, we are going to win.",no topic
I’ve got a small favor to ask – can you pledge to vote for our campaign? Your response will guide our organizing efforts and help us make sure we can get you all the information you need on election day.,no topic
"Will you pledge to vote for Bernie? We are taking on the entire damn 1 percent on this campaign, and the only way to defeat them is through a historic voter turnout.",governance
"Add your name to say you’re voting for our campaign. As you read this, we are escalating the largest direct voter contact effort in American history, and saying you are in will go a long way toward helping us know where we stand.",no topic
"Join Bernie in Dallas for a rally on February 14. This event is free and open to the public. Tickets are not required, but an RSVP is encouraged. Entrance is provided on a first come, first served basis.

WHERE:
Mesquite Arena
1818 Rodeo Dr
Mesquite, TX 75149

WHEN:
Friday, February 14
Doors at 6:00 pm
Event at 8:00 pm",no topic
"Join Bernie in Las Vegas for a Get Out to Caucus Rally. This event is free and open to the public. Tickets are not required, but an RSVP is encouraged. Entrance is provided on a first come, first served basis.

WHERE:
Springs Preserve Amphitheater
333 S Valley View Blvd
Las Vegas, NV 89107

WHEN:
Friday, February 21
Doors Open at 5:30pm
Event Starts at 7:00pm",no topic
"Join Bernie for a Get Out the Early Vote rally in Carson City, NV. This event is free and open to the public. Tickets are not required, but an RSVP is encouraged. 

WHERE:
Multi-Purpose Athletic Center Facility, Gymnasium
1860 Russell Way
Carson City, NV 89706

WHEN:
Sunday, February 16
Doors Open at 11am 
Event Starts at 12pm",no topic
"Join Bernie for a University of Nevada, Reno Get Out the Early Vote Rally. This event is free and open to the public. Tickets are not required, but an RSVP is encouraged. Entrance is provided on a first come, first served basis.

WHERE:
University of Reno-Nevada, Lawlor Events Center, Silver & Blue Room
1500 N. Virginia St
Reno, NV 89557

WHEN:
Tuesday, February 18
Doors Open at 10am
Event Starts at 11am",no topic
"Join Bernie for a Get Out the Early Vote Rally at University of Nevada, Las Vegas! This event is free and open to the public. Tickets are not required, but an RSVP is encouraged. Entrance is provided on a first come, first served basis. Parking is limited; attendees are encouraged to walk, bike, or carpool.

WHERE:
Academic Mall
4505 S Maryland Pkwy
Las Vegas, NV 89154

WHEN:
Tuesday, February 18
Doors Open at 1:30pm
Event Starts at 2:30pm",no topic
