,text,byline
34,"There are only a handful of days left to pass SB 423! Tell legislators to act now on harmful indoor air quality in our schools. The health and safety of students, teachers and staff is at stake.",CONNECTICUT EDUCATION ASSOCIATION
35,"The health and safety of students, teachers and staff is at stake. Tell your legislators to pass SB 423 to improve indoor air quality in our schools NOW.",CONNECTICUT EDUCATION ASSOCIATION
36,Extreme temperatures derail teaching and learning. We need legislators to set temperature standards for schools.,CONNECTICUT EDUCATION ASSOCIATION
37,Extreme temperatures. Mold. Poor Ventilation. What you don’t see is making kids sick. Tell your legislators to pass SB 423 to improve indoor air quality in our schools.,CONNECTICUT EDUCATION ASSOCIATION
38,"Connecticut has laws regulating temperatures in pet stores, but not in schools. Our children deserve better. Tell your legislators to support temperature standards for schools.",CONNECTICUT EDUCATION ASSOCIATION
39,"Connecticut has laws regulating temperatures in pet stores, but not in schools. Our children deserve better. Tell your legislators to support temperature standards for schools.",CONNECTICUT EDUCATION ASSOCIATION
40,Extreme temperatures derail teaching and learning. We need legislators to set temperature standards for schools.,CONNECTICUT EDUCATION ASSOCIATION
41,Extreme temperatures. Mold. Poor Ventilation. What you don’t see is making kids sick. Tell your legislators to pass SB 423 to improve indoor air quality in our schools.,CONNECTICUT EDUCATION ASSOCIATION
42,"There are only a handful of days left to pass SB 423! Tell legislators to act now on harmful indoor air quality in our schools. The health and safety of students, teachers and staff is at stake.",CONNECTICUT EDUCATION ASSOCIATION
43,Our kids can’t wait. Please contact your legislators today and ask them to set temperature standards for schools (SB 423).,CONNECTICUT EDUCATION ASSOCIATION
44,"The health and safety of students, teachers and staff is at stake. Tell your legislators to pass SB 423 to improve indoor air quality in our schools NOW.",CONNECTICUT EDUCATION ASSOCIATION
45,"The health and safety of students, teachers and staff is at stake. Tell your legislators to pass SB 423 to improve indoor air quality in our schools NOW.",CONNECTICUT EDUCATION ASSOCIATION
46,"There are only a handful of days left to pass SB 423! Tell legislators to act now on harmful indoor air quality in our schools. The health and safety of students, teachers and staff is at stake.",CONNECTICUT EDUCATION ASSOCIATION
47,"Connecticut has laws regulating temperatures in pet stores, but not in schools. Our children deserve better. Tell your legislators to support temperature standards for schools.",CONNECTICUT EDUCATION ASSOCIATION
48,Our kids can’t wait. Please contact your legislators today and ask them to set temperature standards for schools (SB 423).,CONNECTICUT EDUCATION ASSOCIATION
49,Extreme temperatures. Mold. Poor Ventilation. What you don’t see is making kids sick. Tell your legislators to pass SB 423 to improve indoor air quality in our schools.,CONNECTICUT EDUCATION ASSOCIATION
50,"Connecticut has laws regulating temperatures in pet stores, but not in schools. Our children deserve better. Tell your legislators to support temperature standards for schools.",CONNECTICUT EDUCATION ASSOCIATION
51,Extreme temperatures derail teaching and learning. We need legislators to set temperature standards for schools.,CONNECTICUT EDUCATION ASSOCIATION
52,"The health and safety of students, teachers and staff is at stake. Tell your legislators to pass SB 423 to improve indoor air quality in our schools NOW.",CONNECTICUT EDUCATION ASSOCIATION
53,"Connecticut has laws regulating temperatures in pet stores, but not in schools. Our children deserve better. Tell your legislators to support temperature standards for schools.",CONNECTICUT EDUCATION ASSOCIATION
54,Extreme temperatures derail teaching and learning. We need legislators to set temperature standards for schools.,CONNECTICUT EDUCATION ASSOCIATION
55,"Connecticut has laws regulating temperatures in pet stores, but not in schools. Our children deserve better. Tell your legislators to support temperature standards for schools.",CONNECTICUT EDUCATION ASSOCIATION
56,Extreme temperatures. Mold. Poor Ventilation. What you don’t see is making kids sick. Tell your legislators to pass SB 423 to improve indoor air quality in our schools.,CONNECTICUT EDUCATION ASSOCIATION
57,"There are only a handful of days left to pass SB 423! Tell legislators to act now on harmful indoor air quality in our schools. The health and safety of students, teachers and staff is at stake.",CONNECTICUT EDUCATION ASSOCIATION
58,Our kids can’t wait. Please contact your legislators today and ask them to set temperature standards for schools (SB 423).,CONNECTICUT EDUCATION ASSOCIATION
59,"Connecticut has laws regulating temperatures in pet stores, but not in schools. Our children deserve better. Tell your legislators to support temperature standards for schools.",CONNECTICUT EDUCATION ASSOCIATION
60,"There are only a handful of days left to pass SB 423! Tell legislators to act now on harmful indoor air quality in our schools. The health and safety of students, teachers and staff is at stake.",CONNECTICUT EDUCATION ASSOCIATION
61,Our kids can’t wait. Please contact your legislators today and ask them to set temperature standards for schools (SB 423).,CONNECTICUT EDUCATION ASSOCIATION
62,"Connecticut has laws regulating temperatures in pet stores, but not in schools. Our children deserve better. Tell your legislators to support temperature standards for schools.",CONNECTICUT EDUCATION ASSOCIATION
63,Extreme temperatures. Mold. Poor Ventilation. What you don’t see is making kids sick. Tell your legislators to pass SB 423 to improve indoor air quality in our schools.,CONNECTICUT EDUCATION ASSOCIATION
64,Extreme temperatures derail teaching and learning. We need legislators to set temperature standards for schools.,CONNECTICUT EDUCATION ASSOCIATION
65,"The health and safety of students, teachers and staff is at stake. Tell your legislators to pass SB 423 to improve indoor air quality in our schools NOW.",CONNECTICUT EDUCATION ASSOCIATION
66,"🎓 What does #EducationJusticeNow mean to you and your community?  #HB5283 would send MILLIONS in additional funding to #Connecticut public #schools through a #student-centered approach.

➡️ Contact the governor and your legislators TODAY with just a few clicks: https://p2a.co/l2BZSVJ

➡️ Read an-op ed from the leaders of the #EducationJusticeNow coalition:
https://bit.ly/3K5baxl","50CAN, INC."
67,"When you pursue training, certificates or degrees in I.T. or tech fields, doors will open for you! Connecticut State Community Colleges have the programs you need to get your 4-year degree on a 2-year budget! Apply now at ct.edu/technology.",odonnell company
68,The New HVN is creating new jobs for workers in our community.,The New HVN
69,The New HVN provides new opportunities and new destinations for East Haven families.,The New HVN
70,The New HVN is providing new destinations and opportunities for everyone in East Haven.,The New HVN
71,The New HVN provides new opportunities and new destinations for East Haven families.,The New HVN
72,"🎓 What does #EducationJusticeNow mean to you and your community?  House Bill 5283 would send MILLIONS in additional funding to #Connecticut public #schools through a #student-centered approach.

➡️ Contact the governor and your legislators TODAY with just a few clicks: https://p2a.co/l2BZSVJ","50CAN, INC."
73,"When you become an early childhood teacher, you are building the future for the children you care for and teach every day. Be there for the milestones and have an impact on the lives of little ones—as well as your own! www.ChildCareCareers.info",Connecticut Office of Early Childhood
74,"CEA members! Please help us get bills of importance to educators, our students, and our profession over the finish line before the end of the legislative session.",CONNECTICUT EDUCATION ASSOCIATION
75,"Bob called on the governor to immediately suspend all of Connecticut's state gas taxes to ease the burden on residents. If you agree with Bob, sign the petition","Bob for Governor - David Becker, Treasurer - Approved by Bob Stefanowski"
76,Struggling to pay your utility bills? Sign the petition to demand lower costs and more transparency in Connecticut!,"Bob for Governor - David Becker, Treasurer - Approved by Bob Stefanowski"
77,"We don’t know the full extent of corruption within the Lamont Administration, but as the people who pay their salaries, Connecticut residents have a right to know. Sign here if you agree.","Bob for Governor - David Becker, Treasurer - Approved by Bob Stefanowski"
78,"Today is the day! Our fair housing month presentation will be today  from 4pm to 6pm. If you haven't registered yet, it is not too late! Click the link below to join us in viewing episode 5 of 'Show Me A Hero' the HBO miniseries that was inspired by the book by Lisa Belkin. Lisa will also be joining us for our panel discussion after in addition to our other wonderful panelists: Dione Dwyer, Anika Singh Lemar & Maribel Betances!

Register here: https://bit.ly/CFHC-Show-Me-A-Hero","CONNECTICUT FAIR HOUSING CENTER, INC."
79,"Today CT Senate and House Republicans offered a $1.2 billion tax relief package to help Connecticut’s working- and middle-class families.

The plan maintains a balanced budget while returning to CT residents nearly $1 billion in inflation-related windfall revenue. 

This proposal offers immediate tax relief at a time when CT residents are facing the crushing burden of historic inflation. Our plan continues to invest a historic amount in paying down on the state’s unfunded liabilities, maintains a significant budget surplus, and returns the overtaxation of CT residents to families most in need.

Learn more: https://ctsenaterepublicans.com/2022/04/ct-senate-house-republicans-offer-1-2-billion-tax-relief-plan-for-working-and-middle-class-families/

Read our plan: https://ctsenaterepublicans.com/wp-content/uploads/2022/04/042122_AffordableCT_SenateHouseGOPplan.pdf

#AffordableCT #BetterWayCT AffordableConnecticut.com #taxrelief #taxcuts #inflation #CTbudget",Connecticut Senate Republicans
80,Hilda Santiago survived domestic violence and rose to become the highest ranking Latina in the State of Connecticut. There's no one better to defend voting rights and deliver a Democratic victory in November. Join our team by pledging your support below!,Santiago for Connecticut
81,Hilda Santiago survived domestic violence and rose to become the highest ranking Latina in the State of Connecticut. There's no one better to defend voting rights and deliver a Democratic victory in November. Join our team by pledging your support below!,Santiago for Connecticut
82,Hilda Santiago survived domestic violence and rose to become the highest ranking Latina in the State of Connecticut. There's no one better to defend voting rights and deliver a Democratic victory in November. Join our team by pledging your support below!,Santiago for Connecticut
83,Hilda Santiago survived domestic violence and rose to become the highest ranking Latina in the State of Connecticut. There's no one better to defend voting rights and deliver a Democratic victory in November. Join our team by pledging your support below!,Santiago for Connecticut
84,Hilda Santiago survived domestic violence and rose to become the highest ranking Latina in the State of Connecticut. There's no one better to defend voting rights and deliver a Democratic victory in November. Join our team by pledging your support below!,Santiago for Connecticut
85,Hilda Santiago survived domestic violence and rose to become the highest ranking Latina in the State of Connecticut. There's no one better to defend voting rights and deliver a Democratic victory in November. Join our team by pledging your support below!,Santiago for Connecticut
86,"This weekend I went Fishing with my grandson at Candlewood Lake in Connecticut and he surprised me with a question I never thought he would ask.

“Grandpa John... Do you have Life Insurance?”

I was taken back for a moment, because what kind of 7 year old would ask such a bold question?

Rather than answering, I simply asked him what made him think to ask me that.

He put his head down for a moment before looking at me with one eye squinted and said...

“I heard my mom and dad talking about you and they’re scared that if something happened to you we wouldn’t have the money to pay the funeral man”

I could see he was worried. I told him that everything would be fine and there was nothing to worry about.

The truth is, I didn’t have anything in place to protect them if something were to happen to me and they don’t have $10,000 lying around to cover a sudden funeral cost, either.

That was my responsibility. One I hadn’t owned up to yet.

I returned from our trip the next morning and called my friend who's a Licensed Field Underwriter. I almost paid for another insurance and then he told me that Connecticut Residents ages 50-85 years old qualify for a NEW State Regulated Burial Program that is designed to pay for our Final Expenses up to $25,000 Tax Free.

It was really simple. They approved me almost instantly and they didn’t even mind that I have some prior health conditions.

There was no Blood Work Required.

No Physical Exam, No Doctors Appointments or invasive requirements.

They provided Day One Coverage, even covered my brother who’s a diabetic that has been turned down for previous coverage.

Thanks to this program, I was able to tell my grandson and my family that everything will be fine when something happens to me.

If you would like to know if you also qualify for the program without any obligation, click the LEARN MORE tab below.",
87,"This weekend I went Fishing with my grandson at Candlewood Lake in Connecticut and he surprised me with a question I never thought he would ask.

“Grandpa John... Do you have Life Insurance?”

I was taken back for a moment, because what kind of 7 year old would ask such a bold question?

Rather than answering, I simply asked him what made him think to ask me that.

He put his head down for a moment before looking at me with one eye squinted and said...

“I heard my mom and dad talking about you and they’re scared that if something happened to you we wouldn’t have the money to pay the funeral man”

I could see he was worried. I told him that everything would be fine and there was nothing to worry about.

The truth is, I didn’t have anything in place to protect them if something were to happen to me and they don’t have $10,000 lying around to cover a sudden funeral cost, either.

That was my responsibility. One I hadn’t owned up to yet.

I returned from our trip the next morning and called my friend who's a Licensed Field Underwriter. I almost paid for another insurance and then he told me that Connecticut Residents ages 50-85 years old qualify for a NEW State Regulated Burial Program that is designed to pay for our Final Expenses up to $25,000 Tax Free.

It was really simple. They approved me almost instantly and they didn’t even mind that I have some prior health conditions.

There was no Blood Work Required.

No Physical Exam, No Doctors Appointments or invasive requirements.

They provided Day One Coverage, even covered my brother who’s a diabetic that has been turned down for previous coverage.

Thanks to this program, I was able to tell my grandson and my family that everything will be fine when something happens to me.

If you would like to know if you also qualify for the program without any obligation, click the LEARN MORE tab below.",
88,"Big News for Seniors who live in Connecticut!

As of April 25th, 2022, Connecticut has approved a State Regulated Burial Program that is now available to Every Senior regardless of most pre-existing conditions.

DO NOT PAY FOR LIFE INSURANCE UNTIL YOU KNOW HOW THIS WORKS!

If you were born prior to 1975, we can help you qualify for this affordable, state regulated burial program that is designed to cover the ENTIRE cost of your final expenses up to $25,000.

Why leave your family with this unnecessary financial burden when we have helped THOUSANDS of local seniors qualify for this important State regulated burial program.

So don't wait! Click the {LEARN MORE} tab below to find out just how simple it is to qualify with our help.",United Solutions
89,"Big News for Seniors who live in Connecticut!

As of April 25th, 2022, Connecticut has approved a State Regulated Burial Program that is now available to Every Senior regardless of most pre-existing conditions.

DO NOT PAY FOR LIFE INSURANCE UNTIL YOU KNOW HOW THIS WORKS!

If you were born prior to 1975, we can help you qualify for this affordable, state regulated burial program that is designed to cover the ENTIRE cost of your final expenses up to $25,000.

Why leave your family with this unnecessary financial burden when we have helped THOUSANDS of local seniors qualify for this important State regulated burial program.

So don't wait! Click the {LEARN MORE} tab below to find out just how simple it is to qualify with our help.",United Solutions
90,"Hilda Santiago is running for Secretary of the State. Let's show girls and young women of color across Connecticut that yes, we can. Let's show single moms that they can fight for their kids' education — and win. Let's show the political establishment that, when we speak as one, our voice is too loud to be ignored. And let's show everyone that, yes, real experience matters. We're with Hilda. Are you?",Santiago for Connecticut
91,"ALAMO-DISRESPECTING GEORGE P. BUSH MAY KILL FAMILY’S POLITICAL DYNASTY

Please see the excellent article by Isabel Vincent that just came out in the NEW YORK POST on March 4 describing the potential downfall of George P. Bush. The piece goes into quite a bit of detail about the impact that ALL OF US have had in the fight to Save the Alamo.

You can press this link to see the original. https://nypost.com/2022/03/04/george-p-bush-may-end-familys-political-dynasty-in-texas/

We have also posted the full article below.

********************************************************************
 
Alamo-disrespecting George P. Bush may kill family’s political dynasty
By Isabel Vincent
March 4, 2022 7:40am
NEW YORK POST 
 
At first glance, George Prescott Bush seems the ideal political candidate in a state where his family has been a powerful dynasty for decades.

The telegenic Texas lawyer is a grandson of 41st US President George H.W. Bush and the nephew of George W. Bush, the 43rd. He is the eldest son of two-term Florida Gov. Jeb Bush and the great-grandson of US Sen. Prescott Bush of Connecticut. The war veteran and father of two, married to blond lawyer Amanda Williams Bush, is also Mexican American on his mother’s side, and speaks fluent Spanish.

But that might not be enough, according to critics who accuse him of being the black sheep of the family and disrespecting the Alamo, Texas’ most treasured symbol, by bringing in modern-minded out-of-staters for its restoration.

On Tuesday, Bush, 45, and incumbent Ken Paxton beat two other Republican candidates vying to be the party’s pick in the attorney general’s race.

Now, a critical May runoff will determine whether the fourth-generation scion will be able to shore up the family’s political legacy in the Lone Star State, analysts say. 

But that’s another problem: “The Bush name is not popular in Texas anymore,” Luke Twombly, a Dallas-based political consultant and former communications director of the Texas Republican Party, told The Post.

Paxton, the Texas attorney general since 2015, has been indicted on securities fraud charges and accused of bribery and misuse of office in a civil whistleblower lawsuit, but still has the support of the state’s conservatives. He also has the endorsement of former President Donald Trump — a situation Bush hopes to reverse by invoking Trump in his campaign ads, which don’t mention the titans in his own family.

“Under the leadership of President Trump, our country was strong and vibrant again,” says Bush in a campaign video. At another point in the ad, he notes, “Like President Trump, I will not sit idly by while our freedoms are under attack, because Texas must lead the way in fighting this radical agenda.” 

If Bush is trying to capitalize on his devotion to Trump, his opponents hope to end the Bush family’s political dominance in Texas, which began after George H.W. moved with his wife, Barbara, from Connecticut to the Lone Star State in 1948 to work in the oil business.

“If conservatives unite … we can end the Bush dynasty,” Paxton told a Lubbock radio station Wednesday. “The Bushes have had their chances. It’s time for the dynasty to end.”

Bush, commissioner of the General Land Office in Texas, has faced withering criticism from both Democrats and fellow Republicans for his work restoring the Alamo historic site. He’s also been under scrutiny for his agency’s administration of veterans’ homes, where the COVID fatality rate was 25 percent at seven out of nine facilities — more than double the rate at the state’s other nursing homes during the height of the pandemic.

In his eagerness to seek endorsements from Trump, Bush has broken with members of his own family, becoming the black sheep of a clan that has little patience for Trump’s hold on the Republican Party. 

“I can’t imagine that George P. is getting a lot of love from his family in pursuit of the Trump endorsement,” said Twombly.

Although he likely needs Trump’s endorsement to win the race, others say Bush lacks the same leadership genes that propelled his relatives to political victory.

“Well, maybe he’s not exactly a black sheep, but Bush is not the guy,” Jerry Patterson, Bush’s predecessor on the General Land Office, told The Post. “I knew 41 and 43, and Bush is not a guy who is a leader. He’s a decent enough fellow, but if you want someone to make hard decisions, he’s out of it. He avoids controversy, puts his head down.”

As commissioner of the GLO, he has played fast and loose with the Alamo, the state’s most sacred historic site, he added. Patterson was so incensed with what he called Bush’s lack of transparency and bungling of the monument’s restoration that he decided to run against him to get his old job back in 2018.

When Patterson lost to Bush in the Republican primary for the commissioner’s job, he decided to back Bush’s Democratic opponent, Miguel Suazo, in the commissioner’s race. He wasn’t the only one.

“Never in my memory have all primary opponents of a Republican candidate either endorsed the primary winner’s Democratic opponent or stated publicly they wouldn’t vote for the Republican primary winner,” Patterson said.

In addition to Patterson, losing Republican primary opponents in the race — Rick Range, Davey Edward and David Watts — all refused to back Bush.

“There are things that are more important than your party,” said Patterson, who ran the GLO between 2003 and 2015. “The Alamo is Texas.”

Among the criticisms of Bush’s work on the restoration of the site, which will include a new museum with a rooftop garden, is a lack of transparency and the hiring of a Philadelphia design firm that suggested incorporating modern glass walls.

“Calling in all these out-of-state so-called experts who knew nothing about the Alamo, nothing about what it means to Texas” was Bush’s first mistake, according to Range, a retired firefighter, in an interview with the Texas Monthly. 

“He cannot be trusted with the future of the Alamo,” Range told the magazine. “He’s flip-flopped more times than a catfish stranded on the bank of a river.”

Despite the criticisms, Bush prominently features images of the Alamo in his campaign ads, which also include several references to Trump’s domestic policy greatest hits. 

In his latest ad, Bush reminds viewers that he is a former Navy officer deployed to Afghanistan, and promises to finish “Trump’s wall.” He is filmed in dark glasses riding an all-terrain vehicle in the shadow of the wall that marks the southern border with Mexico. 

“It’s such bulls–t,” said Patterson. “Every damned politician talks about the wall, but the attorney general has no impact on shutting down the border. It’s all bulls–t. It’s almost what you have to do if you are a Republican in Texas.”

Still, Patterson, like others, is hesitant to write off Bush just yet.

“Do I think he has a chance?” he said. “I think he has a chance.”

Bush’s campaign and spokesman did not return The Post’s calls and emails Thursday.",Save The Alamo Committee
92,"Breaking News: Connecticut residents may qualify for $20k, $50k, $100k+ loan assistance which will be deposited into your account the next day thanks to this ""Emergency Cash"" program.",Life is For Thriving
93,"🚨ENDORSEMENT ALERT!🚨 ""More than just an ally or colleague, I consider Hilda Santiago a friend. She was there when I was first elected, and since then I've come to count on her as someone who doesn't subscribe to politics as usual, who is always guided by what's right for her constituents, and is consistently on the frontlines fighting for working families. I'm so proud to endorse her to be our next Secretary of the State!"" - State Representative Ron Napoli, Jr.",Santiago for Connecticut
94,"🚨ENDORSEMENT ALERT!🚨 ""I've known and worked with Hilda Santiago for years, and there's no one in this state I trust more to defend the right to vote. We as Democrats spend a lot of time talking about making government more diverse and more representative of our communities. It's time to act. Now is the time to make history. I'm so proud to endorse Hilda for Secretary of the State!"" - Former Coventry Democratic Chair Dorothy Grady",Santiago for Connecticut
95,"🎓 What does #EducationJusticeNow mean to you and your community?  #HB5283 would send MILLIONS in additional funding to #Connecticut public #schools through a #student-centered approach.

➡️ Contact the governor and your legislators TODAY with just a few clicks: https://p2a.co/l2BZSVJ

➡️ Read an-op ed from the leaders of the #EducationJusticeNow coalition:
https://bit.ly/3K5baxl","50CAN, INC."
96,This is HUGE. Elon Musk just shocked the world… and quite possibly changed it in a whole new way—AGAIN. Watch: #TrishReganShow S3/E59,TARM HOLDINGS LLC
97,"🎓 What does #EducationJusticeNow mean to you and your community?  House Bill 5283 would send MILLIONS in additional funding to #Connecticut public #schools through a #student-centered approach.

➡️ Contact the governor and your legislators TODAY with just a few clicks: https://p2a.co/l2BZSVJ

➡️ Learn more at: https://linktr.ee/studentcenteredfunding

➡️ Read an-op ed from the leaders of the #EducationJusticeNow coalition, School and State Finance Project Connecticut Charter Schools Association FaithActs for Education Educators for Excellence

https://conncan.org/blog/give-our-children-the-resources-they-need-for-a-great-education/","50CAN, INC."
98,New Haven’s students deserve fair funding! HB 5283 would provide $19.3 million more for New Haven’s schools. Tell Governor Lamont to support HB 5283 and finally fully fund Connecticut’s students!,School and State Finance Project
99,Hartford’s students deserve fair funding! HB 5283 would provide $23.5 million more for Hartford’s schools. Tell Governor Lamont to support HB 5283 and finally fully fund Connecticut’s students!,School and State Finance Project
100,"With my business consulting background, I intend to help Hartford make the difficult but right choices to help the people of Connecticut. The cost of basic necessities like putting food on the table for our families has gotten way out of hand and it’s time to make a change.",Paul For Senate
101,"With my business consulting background, I intend to help Hartford make the difficult but right choices to help the people of Connecticut. The cost of basic necessities like putting food on the table for our families has gotten way out of hand and it’s time to make a change.",Paul For Senate
102,The New HVN provides new opportunities and new destinations for East Haven families.,The New HVN
103,The New HVN provides new opportunities and new destinations for East Haven families.,The New HVN
104,"Have you heard? Governor Lamont has rolled out an opportunity with us alongside the Connecticut Office of Workforce Strategy and Amazon Web Services (AWS) to provide I.T. training and education to more than 2,000 Connecticut residents by 2024. Be ready with the skills you need to land a job or advance your career. Learn more at ct.edu/technology. Apply now!",odonnell company
105,"The Allied Health field has more career paths than many know! From EMT-Paramedic to Radiologic Technology. Diagnostics to Surgical Technology. Radiography, Physical Therapy, Veterinary Technology and beyond!

Learn more about the many options at several of our Connecticut campuses today: ct.edu/academics/selective",odonnell company
